,start,user,duration,totalDistancekM,L_total,R_total,drive_night,jrny,average_duration,average_distance,LR_Ratio,nightDrive_percentage,start_m,start_y,start,user,Overall_Total_Celeration,Overall_Total_Acc,Overall_Hard_Acc,Overall_Total_Ret,Overall_Hard_Ret,JA_Total_Celeration,JA_Total_Acc,JA_Hard_Acc,JA_Total_Ret,JA_Hard_Ret,RA_Total_Celeration,RA_Total_Acc,RA_Hard_Acc,RA_Total_Ret,RA_Hard_Ret,RE_Total_Celeration,RE_Total_Acc,RE_Hard_Acc,RE_Total_Ret,RE_Hard_Ret,start,user,motorway_link,motorway,trunk,tertiary,primary,service,trunk_link,residential,unclassified,secondary,secondary_link,primary_link,tertiary_link,construction,living_street,pedestrian,road,footway,track
0,2021-06-30,2,95898,731.89957560632,1813.0,1768.0,2,139,689.9136690647482,5.265464572707338,1.0254524886877827,0.014388489208633094,6,2021,2021-06-30 00:00:00+00:00,2,6239,3279,40,2960,52,1709,730,5,979,13,154,71,3,83,1,81,51,2,30,0,2021-06-30 00:00:00+00:00,2,6.9882641675,149.03833947700002,97.61201615203,154.20228649474,122.09409511712501,6.61472134128,1.11201388851,161.969922787455,9.331110812995,20.925624887435,0.00618055525,0.09104163679,0.22111109402,0,0,0,0,0,0
1,2021-07-31,2,98621,674.86776511801,1895.0,1850.0,4,133,741.5112781954887,5.074193722691804,1.0243243243243243,0.03007518796992481,7,2021,2021-07-31 00:00:00+00:00,2,6332,3374,24,2958,48,1701,759,3,942,15,159,79,1,80,0,76,52,0,24,0,2021-07-31 00:00:00+00:00,2,6.4913891046700005,34.8152792255,79.67465412266,175.13138598506,128.968262060525,10.083749012155,3.6225000823499998,175.810061018935,29.047915673005,28.6535411748,0.021111109599999997,0.27472218241,0.40909718224,0,0,0,0,0,0
2,2021-08-31,2,55040,536.8531981384,606.0,590.0,2,73,753.972602739726,7.354153399156164,1.0271186440677966,0.0273972602739726,8,2021,2021-08-31 00:00:00+00:00,2,2305,1231,17,1074,29,408,174,2,234,3,103,44,2,59,2,64,39,0,25,0,2021-08-31 00:00:00+00:00,2,1.2017361553,47.705488107,81.73777920188999,63.7902075011,29.38090246187,7.1416656430600005,2.119027794005,44.339789781655,7.196805275805,7.09576364802,0.03548610995,0.16749992057000002,0.15979164592,0,0,0,0,0,0
3,2021-09-30,2,131766,953.528251616045,2651.0,2516.0,12,152,866.8815789473684,6.273212181684507,1.053656597774245,0.07894736842105263,9,2021,2021-09-30 00:00:00+00:00,2,7745,4192,42,3553,74,1920,853,12,1067,11,258,135,3,123,4,111,65,0,46,2,2021-09-30 00:00:00+00:00,2,3.5477778882899997,73.7701419345,140.589654301425,170.66700689296,165.111733017325,7.03715173183,0.7089583177,156.590061258385,11.84631865192,34.28944413378,0.08499999615,0.26368050482,0.220277744125,0,0,0,0,0,0
4,2021-10-31,2,117184,762.58852695621,2352.0,2263.0,19,115,1018.991304347826,6.631204582227913,1.039328325231993,0.16521739130434782,10,2021,2021-10-31 00:00:00+00:00,2,6856,3736,33,3120,48,1658,741,4,917,10,269,156,3,113,2,137,82,1,55,0,2021-10-31 00:00:00+00:00,2,6.61736132032,119.85979670300001,82.308402529915,168.023605084735,159.04041303121,7.048471048025,0.33979163056,131.137216276535,21.151734786325,63.74090129817,0.050624994099999994,0.190347178615,0.24076386360000002,0,0,0,0,0,0
5,2021-12-31,2,38568,527.94473474079,277.0,278.0,2,23,1676.8695652173913,22.954118901773477,0.9964028776978417,0.08695652173913043,12,2021,2021-12-31 00:00:00+00:00,2,1004,473,2,531,8,157,49,0,108,1,160,61,0,99,4,85,63,0,22,0,2021-12-31 00:00:00+00:00,2,0.0,0.0,346.513136780005,39.29701352085,57.71291830253,7.114929919994999,3.9564583887499998,8.96638843452,1.24916660638,59.49388933701,0.016944442400000002,0.0,0.0768055481,0,0,0,0,0,0
6,2021-12-31,3,16376,161.020903759715,174.0,124.0,5,25,655.04,6.4408361503886,1.403225806451613,0.2,12,2021,2021-12-31 00:00:00+00:00,3,710,338,2,372,16,153,68,1,85,6,106,45,0,61,3,57,42,0,15,0,2021-12-31 00:00:00+00:00,3,0.0,0.0,79.67493233017001,22.640833196715,14.693958514544999,7.86499985399,0.0,9.130138021435,17.097222384120002,9.860000017225,0.0,0.0,0.0,0,0,0,0,0,0
7,2021-12-31,4,33594,197.17638425666001,775.0,688.0,11,60,559.9,3.2862730709443335,1.126453488372093,0.18333333333333332,12,2021,2021-12-31 00:00:00+00:00,4,2150,1188,18,962,21,742,342,8,400,8,39,20,0,19,0,22,15,0,7,0,2021-12-31 00:00:00+00:00,4,0.0,0.0,10.87993050687,70.05861024912,63.27499911676,2.93368030492,0.0,24.81909503351,12.58833291386,11.35500004081,0.0,0.0281944426,0.40499998256,0,0,0,0,0,0
8,2021-12-31,5,12821,107.25638838144499,185.0,168.0,5,21,610.5238095238095,5.107447065783095,1.1011904761904763,0.23809523809523808,12,2021,2021-12-31 00:00:00+00:00,5,602,321,5,281,5,123,56,1,67,1,39,16,0,23,0,15,10,0,5,0,2021-12-31 00:00:00+00:00,5,0.0,0.0,8.95576390868,14.68027776994,30.82270832008,0.419791618035,0.061805556500000004,20.76659648584,0.83402773878,30.365903093165002,0.009097221,0.057013885825,0.0,0,0,0,0,0,0
9,2022-01-31,1,7245,53.067082444255,96.0,86.0,0,11,658.6363636363636,4.824280222205,1.1162790697674418,0.0,1,2022,2022-01-31 00:00:00+00:00,1,352,186,0,166,1,73,21,0,52,0,35,16,0,19,0,14,9,0,5,0,2022-01-31 00:00:00+00:00,1,0.0,0.0,5.575763891409999,13.676805372005,0.7918055587699999,0.663888785605,0.052986111,9.493054999645,0.39631938932,22.309305558349998,0.0190277785,0.0,0.0,0,0,0,0,0,0
